[2026-04-04 10:31:56] POS(1,0) | BAT(99%) | STATUT: TRESOR
[2026-04-04 10:31:57] POS(2,0) | BAT(98%) | STATUT: VIDE
[2026-04-04 10:31:59] POS(3,0) | BAT(97%) | STATUT: VIDE
[2026-04-04 10:32:00] POS(4,0) | BAT(96%) | STATUT: VIDE
[2026-04-04 10:32:01] POS(5,0) | BAT(95%) | STATUT: VIDE
[2026-04-04 10:32:02] POS(6,0) | BAT(94%) | STATUT: VIDE
[2026-04-04 10:32:03] POS(7,0) | BAT(93%) | STATUT: VIDE
[2026-04-04 10:32:04] POS(8,0) | BAT(92%) | STATUT: VIDE
[2026-04-04 10:32:05] POS(9,0) | BAT(91%) | STATUT: VIDE
[2026-04-04 10:32:06] POS(10,0) | BAT(90%) | STATUT: VIDE
[2026-04-04 10:32:07] POS(10,1) | BAT(89%) | STATUT: VIDE
[2026-04-04 10:32:08] POS(10,2) | BAT(88%) | STATUT: VIDE
[2026-04-04 10:32:09] POS(10,3) | BAT(87%) | STATUT: VIDE
[2026-04-04 10:32:10] POS(10,4) | BAT(86%) | STATUT: VIDE
[2026-04-04 10:32:11] POS(10,5) | BAT(85%) | STATUT: VIDE
