[2026-04-07 06:43:57] POS(  6,  5) | BAT( 99%) | STATUT: TRESOR
[2026-04-07 06:43:58] POS(  7,  5) | BAT( 98%) | STATUT: VIDE
[2026-04-07 06:43:59] POS(  8,  5) | BAT( 97%) | STATUT: VIDE
[2026-04-07 06:44:00] POS(  9,  5) | BAT( 96%) | STATUT: VIDE
[2026-04-07 06:44:01] POS( 10,  5) | BAT( 95%) | STATUT: VIDE
[2026-04-07 06:44:02] POS( 10,  6) | BAT( 94%) | STATUT: VIDE
[2026-04-07 06:44:03] POS( 10,  7) | BAT( 93%) | STATUT: VIDE
[2026-04-07 06:44:04] POS( 10,  8) | BAT( 92%) | STATUT: TRESOR
[2026-04-07 06:44:05] POS( 10,  9) | BAT( 91%) | STATUT: VIDE
[2026-04-07 06:44:41] POS( 11,  8) | BAT( 91%) | STATUT: VIDE
[2026-04-07 06:44:42] POS( 12,  8) | BAT( 90%) | STATUT: VIDE
[2026-04-07 06:44:43] POS( 13,  8) | BAT( 89%) | STATUT: VIDE
[2026-04-07 06:44:44] POS( 14,  8) | BAT( 88%) | STATUT: VIDE
[2026-04-07 06:44:45] POS( 15,  8) | BAT( 87%) | STATUT: VIDE
[2026-04-07 06:44:46] POS( 16,  8) | BAT( 86%) | STATUT: VIDE
[2026-04-07 06:44:47] POS( 17,  8) | BAT( 85%) | STATUT: VIDE
[2026-04-07 06:44:48] POS( 18,  8) | BAT( 84%) | STATUT: VIDE
[2026-04-07 06:44:49] POS( 18,  9) | BAT( 83%) | STATUT: VIDE
[2026-04-07 06:44:50] POS( 18, 10) | BAT( 82%) | STATUT: TRESOR
[2026-04-07 06:44:51] POS( 18, 11) | BAT( 81%) | STATUT: VIDE
[2026-04-07 06:44:52] POS( 18, 12) | BAT( 80%) | STATUT: TRESOR
[2026-04-07 06:44:53] POS( 18, 13) | BAT( 79%) | STATUT: VIDE
[2026-04-07 06:44:54] POS( 18, 14) | BAT( 78%) | STATUT: VIDE
[2026-04-07 06:44:55] POS( 18, 15) | BAT( 77%) | STATUT: TRESOR
[2026-04-07 06:44:56] POS( 18, 16) | BAT( 76%) | STATUT: VIDE
[2026-04-07 06:44:57] POS( 18, 17) | BAT( 75%) | STATUT: VIDE
