[2026-04-04 11:13:11] POS(1,0) | BAT(99%) | STATUT: VIDE
[2026-04-04 11:13:12] POS(2,0) | BAT(98%) | STATUT: VIDE
[2026-04-04 11:13:13] POS(3,0) | BAT(97%) | STATUT: VIDE
[2026-04-04 11:13:14] POS(3,1) | BAT(96%) | STATUT: VIDE
[2026-04-04 11:13:15] POS(3,2) | BAT(95%) | STATUT: VIDE
[2026-04-04 11:13:16] POS(3,3) | BAT(94%) | STATUT: VIDE
[2026-04-04 11:13:17] POS(3,4) | BAT(93%) | STATUT: VIDE
[2026-04-04 11:13:18] POS(3,5) | BAT(92%) | STATUT: VIDE
[2026-04-04 11:13:25] POS(4,5) | BAT(91%) | STATUT: VIDE
[2026-04-04 11:13:26] POS(5,5) | BAT(90%) | STATUT: VIDE
[2026-04-04 11:13:27] POS(6,5) | BAT(89%) | STATUT: VIDE
[2026-04-04 11:13:28] POS(7,5) | BAT(88%) | STATUT: VIDE
[2026-04-04 11:13:29] POS(8,5) | BAT(87%) | STATUT: VIDE
[2026-04-04 11:13:30] POS(9,5) | BAT(86%) | STATUT: VIDE
[2026-04-04 11:13:31] POS(10,5) | BAT(85%) | STATUT: VIDE
[2026-04-04 11:13:32] POS(10,6) | BAT(84%) | STATUT: VIDE
[2026-04-04 11:13:33] POS(10,7) | BAT(83%) | STATUT: VIDE
[2026-04-04 11:13:34] POS(10,8) | BAT(82%) | STATUT: TRESOR
[2026-04-04 11:13:35] POS(10,9) | BAT(81%) | STATUT: VIDE
[2026-04-04 11:13:36] POS(10,10) | BAT(80%) | STATUT: VIDE
[2026-04-04 11:13:37] POS(10,11) | BAT(79%) | STATUT: VIDE
[2026-04-04 11:13:38] POS(10,12) | BAT(78%) | STATUT: TRESOR
[2026-04-04 11:13:39] POS(10,13) | BAT(77%) | STATUT: VIDE
[2026-04-04 11:13:40] POS(10,14) | BAT(76%) | STATUT: VIDE
[2026-04-04 11:13:53] POS(11,14) | BAT(75%) | STATUT: VIDE
[2026-04-04 11:13:54] POS(12,14) | BAT(74%) | STATUT: VIDE
[2026-04-04 11:13:55] POS(12,15) | BAT(73%) | STATUT: VIDE
[2026-04-04 11:14:11] POS(13,15) | BAT(72%) | STATUT: VIDE
[2026-04-04 11:14:12] POS(14,15) | BAT(71%) | STATUT: VIDE
[2026-04-04 11:14:13] POS(15,15) | BAT(70%) | STATUT: VIDE
[2026-04-04 11:14:14] POS(16,15) | BAT(69%) | STATUT: VIDE
[2026-04-04 11:14:15] POS(17,15) | BAT(68%) | STATUT: VIDE
[2026-04-04 11:14:16] POS(18,15) | BAT(67%) | STATUT: VIDE
[2026-04-04 11:14:17] POS(18,16) | BAT(66%) | STATUT: VIDE
[2026-04-04 11:14:18] POS(18,17) | BAT(65%) | STATUT: VIDE
[2026-04-04 11:14:19] POS(18,18) | BAT(64%) | STATUT: VIDE
[2026-04-04 11:14:20] POS(18,19) | BAT(63%) | STATUT: TRESOR
[2026-04-04 11:14:21] POS(18,20) | BAT(62%) | STATUT: VIDE
[2026-04-04 11:14:22] POS(18,21) | BAT(61%) | STATUT: VIDE
[2026-04-04 11:14:23] POS(18,22) | BAT(60%) | STATUT: VIDE
[2026-04-04 11:14:41] POS(19,22) | BAT(59%) | STATUT: VIDE
[2026-04-04 11:14:42] POS(20,22) | BAT(58%) | STATUT: VIDE
[2026-04-04 11:14:43] POS(21,22) | BAT(57%) | STATUT: VIDE
[2026-04-04 11:14:44] POS(22,22) | BAT(56%) | STATUT: VIDE
[2026-04-04 11:14:45] POS(23,22) | BAT(55%) | STATUT: VIDE
[2026-04-04 11:14:46] POS(24,22) | BAT(54%) | STATUT: VIDE
[2026-04-04 11:14:47] POS(24,23) | BAT(53%) | STATUT: VIDE
[2026-04-04 11:14:48] POS(24,24) | BAT(52%) | STATUT: VIDE
[2026-04-04 11:14:49] POS(24,25) | BAT(51%) | STATUT: VIDE
[2026-04-04 11:14:50] POS(24,26) | BAT(50%) | STATUT: VIDE
[2026-04-04 11:14:51] POS(24,27) | BAT(49%) | STATUT: VIDE
[2026-04-04 11:14:52] POS(24,28) | BAT(48%) | STATUT: VIDE
[2026-04-04 11:14:53] POS(24,29) | BAT(47%) | STATUT: VIDE
[2026-04-04 11:15:01] POS(25,29) | BAT(46%) | STATUT: VIDE
[2026-04-04 11:15:02] POS(26,29) | BAT(45%) | STATUT: VIDE
[2026-04-04 11:15:03] POS(26,30) | BAT(44%) | STATUT: VIDE
[2026-04-04 11:15:04] POS(26,31) | BAT(43%) | STATUT: TRESOR
[2026-04-04 11:15:05] POS(26,32) | BAT(42%) | STATUT: VIDE
[2026-04-04 11:15:06] POS(26,33) | BAT(41%) | STATUT: VIDE
[2026-04-04 11:15:07] POS(26,34) | BAT(40%) | STATUT: VIDE
[2026-04-04 11:15:08] POS(26,35) | BAT(39%) | STATUT: VIDE
[2026-04-04 11:15:09] POS(26,36) | BAT(38%) | STATUT: VIDE
