[2026-04-04 10:31:56] [ROVER 01] AT( 10,  5) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 10:31:57] [ROVER 01] AT(  1,  0) | ACTION: TRESOR_CONFIRME
[2026-04-04 10:33:57] [ROVER 02] AT(  4, 10) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 10:33:57] [ROVER 02] AT(  1,  0) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:13:11] [ROVER 03] AT(  3,  5) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 11:13:25] [ROVER 03] AT( 10, 14) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 11:13:34] [ROVER 03] AT( 10,  8) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:13:38] [ROVER 03] AT( 10, 12) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:13:53] [ROVER 03] AT( 12, 15) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 11:14:11] [ROVER 03] AT( 18, 22) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 11:14:20] [ROVER 03] AT( 18, 19) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:14:41] [ROVER 03] AT( 24, 29) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 11:15:01] [ROVER 03] AT( 26, 36) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 11:15:04] [ROVER 03] AT( 26, 31) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:15:15] [ROVER 03] AT( 35, 44) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 11:15:15] [ROVER 03] AT( 27, 36) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:15:20] [ROVER 03] AT( 32, 36) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:15:21] [ROVER 03] AT( 33, 36) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:15:24] [ROVER 03] AT( 35, 37) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:15:37] [ROVER 03] AT( 41, 52) | ACTION: MISSION_DEPLACEMENT_VALIDE
[2026-04-04 11:15:39] [ROVER 03] AT( 38, 44) | ACTION: TRESOR_CONFIRME
[2026-04-04 11:15:56] [ROVER 03] AT( 41, 52) | ACTION: ORDRE_RECHARGE_FORCE
[2026-04-04 11:36:03] [ROVER 03] AT( 45, 53) | ACTION: MISSION_DEPLACEMENT_VALIDE
